Station,Setup_date,Retrieval_date/Function Date,Latitude,Longitude
Agalta_2021_1,7/18/2021,10/3/2021,14.9384,-85.9068
Agalta_2021_2,7/18/2021,10/3/2021,14.9456,-85.9123
Agalta_2021_3,7/18/2021,10/3/2021,14.9474,-85.9141
Agalta_2021_4,7/18/2021,10/3/2021,14.9514,-85.9168
Agalta_2021_5,7/19/2021,10/4/2021,14.9413,-85.9049
Agalta_2021_7,7/19/2021,9/24/2021,14.9279,-85.8985
Betulia_2022_8,3/30/2022,5/26/2022,15.8836,-86.1062
Botaderos_2020_10,8/29/2020,12/17/2020,15.4244,-86.1266
Botaderos_2020_13,8/30/2020,12/18/2020,15.4417,-86.1481
Botaderos_2020_2,7/28/2020,11/28/2020,15.521,-86.1293
Botaderos_2020_3,7/28/2020,9/10/2020,15.5269,-86.1343
Botaderos_2020_4,8/25/2020,11/28/2020,15.5027,-86.1522
Botaderos_2020_5,8/31/2020,11/28/2020,15.5107,-86.1312
Botaderos_2020_6,8/28/2020,12/16/2020,15.4351,-86.1426
Botaderos_2020_8,8/29/2020,9/19/2020,15.4313,-86.134
Botaderos_2020_9,8/29/2020,12/17/2020,15.4326,-86.1238
CapiroyCalentura_2020_1,8/19/2020,11/25/2020,15.8962,-85.9423
CapiroyCalentura_2020_13,8/23/2020,11/27/2020,15.8704,-85.8786
CapiroyCalentura_2020_2,8/20/2020,11/26/2020,15.8869,-85.9445
CapiroyCalentura_2020_3,8/20/2020,11/26/2020,15.8797,-85.9509
CapiroyCalentura_2020_4,8/20/2020,10/27/2020,15.8731,-85.9604
CapiroyCalentura_2020_5,8/20/2020,10/27/2020,15.8834,-85.954
CapiroyCalentura_2020_6,8/21/2020,11/27/2020,15.9135,-85.9296
CapiroyCalentura_2020_7,8/21/2020,11/27/2020,15.9018,-85.9171
CapiroyCalentura_2020_8,8/21/2020,10/13/2020,15.908,-85.9201
Cortes_2019_1,6/10/2019,8/13/2019,15.748,-87.9427
Cortes_2019_2,6/10/2019,7/6/2019,15.7547,-87.9407
Cortes_2019_3,6/11/2019,7/10/2019,15.6945,-87.9746
Cortes_2019_4,6/11/2019,8/12/2019,15.6995,-87.9726
Cortes_2019_5,6/12/2019,8/12/2019,15.7141,-87.9615
Cortes_Omoa_2020_10,1/15/2020,6/29/2020,15.7659,-87.9641
Cortes_Omoa_2020_12,1/16/2020,3/26/2020,15.7255,-88.0569
Cortes_Omoa_2020_13,1/16/2020,4/18/2020,15.7574,-88.0209
Cortes_Omoa_2020_14,1/16/2020,4/27/2020,15.7756,-87.9669
Cortes_Omoa_2020_16,1/17/2020,3/4/2020,15.6644,-88.1365
Cortes_Omoa_2020_17,1/17/2020,4/16/2020,15.7431,-87.9907
Cortes_Omoa_2020_2,1/13/2020,4/8/2020,15.7788,-87.8542
Cortes_Omoa_2020_4,1/13/2020,5/5/2020,15.8089,-87.8633
Cortes_Omoa_2020_5,1/13/2020,8/2/2020,15.7484,-87.9229
Cortes_Omoa_2020_6,1/18/2020,3/29/2020,15.7914,-87.9093
Cortes_Omoa_2020_8,1/14/2020,2/16/2020,15.7806,-87.8643
Cortes_Omoa_2020_9,1/15/2020,5/20/2020,15.7492,-87.9566
CueroySalado_2020_1,7/24/2020,10/3/2020,15.7687,-87.0221
CueroySalado_2020_2,7/24/2020,10/3/2020,15.7599,-87.0037
CueroySalado_2020_3,7/25/2020,10/4/2020,15.7633,-87.0492
CueroySalado_2020_5,7/25/2020,10/3/2020,15.7745,-87.0717
CueroySalado_2020_6,7/25/2020,10/1/2020,15.7647,-87.0792
CueroySalado_2020_7,7/26/2020,9/20/2020,15.7847,-87.145
CueroySalado_2020_9,7/26/2020,10/3/2020,15.7467,-87.0008
Cusuco_2014_1,2/20/2014,3/28/2014,15.5064,-88.2341
Cusuco_2014_10,2/23/2014,4/10/2014,15.5147,-88.2421
Cusuco_2014_11,2/22/2014,4/12/2014,15.5063,-88.2212
Cusuco_2014_12,2/21/2014,4/10/2014,15.5233,-88.2327
Cusuco_2014_4,2/21/2014,4/10/2014,15.5165,-88.2296
Cusuco_2014_5,2/23/2014,4/11/2014,15.4882,-88.2307
Cusuco_2014_6,2/22/2014,4/4/2014,15.4997,-88.2186
Cusuco_2014_7,2/22/2014,3/18/2014,15.4858,-88.2374
Cusuco_2014_8,2/23/2014,4/1/2014,15.5046,-88.2356
Cusuco_2014_9,2/21/2014,3/25/2014,15.5202,-88.2321
Cusuco_2019_10,6/24/2019,7/25/2019,15.5295,-88.2811
Cusuco_2019_6,6/29/2019,7/26/2019,15.5141,-88.2867
Cusuco_2019_7,6/28/2019,7/25/2019,15.5223,-88.2717
Cusuco_2019_8,6/28/2019,7/25/2019,15.5191,-88.2748
Cusuco_2019_9,6/29/2019,7/26/2019,15.5195,-88.287
Cusuco_2021_1,4/18/2021,6/29/2021,15.5099,-88.2358
Cusuco_2021_2,5/28/2021,7/2/2021,15.4806,-88.216
Cusuco_2021_4,9/29/2021,12/6/2021,15.5036,-88.2326
DINANT_2020_10,8/22/2020,10/31/2020,15.9393,-85.8089
DINANT_2020_9,8/22/2020,11/25/2020,15.9571,-85.8145
ElCajon_2020_1,7/8/2019,9/18/2019,15.032,-87.7403
ElCajon_2020_10,7/10/2019,9/18/2019,15.0056,-87.7474
ElCajon_2020_2,7/9/2019,9/18/2019,15.0023,-87.7388
ElCajon_2020_3,7/9/2019,9/18/2019,14.9643,-87.7296
ElCajon_2020_4,7/9/2019,9/18/2019,14.9512,-87.7293
ElCajon_2020_5,7/9/2019,9/18/2019,14.9418,-87.7499
ElCajon_2020_6,7/9/2019,8/31/2019,14.9489,-87.7439
ElCajon_2020_7,7/10/2019,8/13/2019,14.9619,-87.6936
ElCajon_2020_8,7/10/2019,9/16/2019,14.9359,-87.6855
ElCajon_2020_9,7/10/2019,9/18/2019,15.0184,-87.7186
ElCarbon_2020_1,9/26/2020,12/6/2020,15.2586,-85.5352
ElCarbon_2020_10,9/26/2020,12/6/2020,15.2634,-85.5459
ElCarbon_2020_11,9/28/2020,12/7/2020,15.2477,-85.5216
ElCarbon_2020_12,9/27/2020,12/6/2020,15.2447,-85.5175
ElCarbon_2020_13,9/27/2020,12/7/2020,15.272,-85.53
ElCarbon_2020_14,9/27/2020,12/7/2020,15.2655,-85.5213
ElCarbon_2020_15,9/26/2020,12/1/2020,15.2594,-85.5079
ElCarbon_2020_16,10/17/2020,11/12/2020,15.244,-85.5096
