Station,Setup_date,Retrieval_date,Latitude,Longitude,Patch ID,Raw_Parea_d80_km,PatchSize,C_Function,Duration,Human_Ratio,AgAnimal_Ratio,D_2_PA,HMI,VNL_2,P_Area_log,D_2_Core,Canopy,Elev,NPP,Precip
Agalta_2021_1,7/18/2021,10/3/2021,14.9384,-85.9068,1180,861,3_Large,1,0.133197483,-0.371016935,-0.194890231,-0.363661862,-0.336727758,-0.261630577,0.670769813,-0.502083145,-0.312252471,0.924277609,0.972587339,-0.218246748
Agalta_2021_2,7/18/2021,10/3/2021,14.9456,-85.9123,1180,861,3_Large,1,0.133197483,-0.371016935,-0.194890231,-0.363661862,-0.525945796,-0.341763719,0.670769813,-0.502083145,0.098172839,1.469596123,0.621530355,-0.218246748
Agalta_2021_3,7/18/2021,10/3/2021,14.9474,-85.9141,1180,861,3_Large,1,0.133197483,-0.371016935,-0.194890231,-0.363661862,-0.525945796,-0.341763719,0.670769813,-0.502083145,0.098172839,1.469596123,1.372980777,-0.13892158
Agalta_2021_4,7/18/2021,10/3/2021,14.9514,-85.9168,1180,861,3_Large,1,0.133197483,-0.371016935,-0.194890231,-0.363661862,-0.582712381,-0.341763719,0.670769813,-0.502083145,0.064939457,1.845708384,1.372980777,-0.124309049
Agalta_2021_5,7/19/2021,10/4/2021,14.9413,-85.9049,1180,861,3_Large,3,0.133197483,-0.168686169,-0.194890231,-0.363661862,-0.336727758,-0.261630577,0.670769813,-0.502083145,-0.047144139,1.089164055,0.972587339,-0.404034643
Agalta_2021_7,7/19/2021,9/24/2021,14.9279,-85.8985,1180,861,3_Large,1,-0.226526332,-0.457083008,-0.194890231,-0.363661862,-0.000469065,-0.239891909,0.670769813,-0.502083145,-0.78257377,0.485805507,1.1819703,-0.385247103
Betulia_2022_8,3/30/2022,5/26/2022,15.8836,-86.1062,34,7,1_Small,1,-0.586250148,-0.436685693,-0.194890231,3.508225912,-0.029968675,-0.409116021,-1.489118399,3.883634446,0.013383752,-0.602636001,0.876210991,-0.351847032
Botaderos_2020_10,8/29/2020,12/17/2020,15.4244,-86.1266,621,614,3_Large,1,1.320286075,-0.431716165,-0.194890231,-0.363661862,-0.277885108,-0.590064311,0.519018086,-0.502083145,1.232150035,0.800443239,0.532914798,-0.731772839
Botaderos_2020_13,8/30/2020,12/18/2020,15.4417,-86.1481,621,614,3_Large,1,1.320286075,-0.290084629,-0.194890231,-0.363661862,-0.210169249,-0.478790908,0.519018086,-0.502083145,0.800748291,0.207629709,0.899889321,-1.305836558
Botaderos_2020_2,7/28/2020,11/28/2020,15.521,-86.1293,621,614,3_Large,1,1.787927036,-0.446685352,-0.194890231,-0.175418341,-0.117136156,-0.260726193,0.519018086,-0.255560265,-0.637004094,-0.421788507,0.798365511,-1.399774258
Botaderos_2020_3,7/28/2020,9/10/2020,15.5269,-86.1343,621,614,3_Large,1,-1.053891108,-0.396308281,-0.194890231,-0.036135492,-0.053087663,-0.019976264,0.519018086,-0.247794158,-0.637004094,-0.421788507,0.202368475,-1.41021178
Botaderos_2020_4,8/25/2020,11/28/2020,15.5027,-86.1522,621,614,3_Large,2,0.780700352,-0.409353291,-0.194890231,-0.363661862,-0.17075791,-0.090504614,0.519018086,-0.502083145,0.473848579,-0.258765324,0.22216641,-1.345499143
