o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15
0.849980963,0.948338964,1.046696966,1.145054967,1.243412969,1.34177097,1.440128972,1.538486973,0,0,0,0,0,0,0
0.849980963,0.948338964,1.046696966,1.145054967,1.243412969,1.34177097,1.440128972,1.538486973,0,0,0,0,0,0,0
0.849980963,0.948338964,1.046696966,1.145054967,1.243412969,1.34177097,1.440128972,1.538486973,0,0,0,0,0,0,0
0.849980963,0.948338964,1.046696966,1.145054967,1.243412969,1.34177097,1.440128972,1.538486973,0,0,0,0,0,0,0
0.859816763,0.958174764,1.056532766,1.154890767,1.253248769,1.351606771,1.449964772,1.548322774,0,0,0,0,0,0,0
0.859816763,0.958174764,1.056532766,1.154890767,1.253248769,1.351606771,1.449964772,0,0,0,0,0,0,0,0
-0.231957054,-0.133599053,-0.035241051,0.06311695,0.161474952,0.259832953,0,0,0,0,0,0,0,0,0
1.263084569,1.361442571,1.459800572,1.558158574,1.656516575,1.754874577,1.853232578,-1.638476476,-1.540118475,-1.441760473,-1.343402472,-1.24504447,0,0,0
1.272920369,1.371278371,1.469636372,1.567994374,1.666352375,1.764710377,1.863068379,-1.628640676,-1.530282675,-1.431924673,-1.333566671,-1.23520867,0,0,0
0.948338964,1.046696966,1.145054967,1.243412969,1.34177097,1.440128972,1.538486973,1.636844975,1.735202977,1.833560978,-1.658148077,-1.559790075,-1.461432074,0,0
0.948338964,1.046696966,1.145054967,1.243412969,1.34177097,0,0,0,0,0,0,0,0,0,0
1.223741369,1.32209937,1.420457372,1.518815373,1.617173375,1.715531376,1.813889378,-1.677819677,-1.579461675,-1.481103674,0,0,0,0,0
1.282756169,1.381114171,1.479472173,1.577830174,1.676188176,1.774546177,1.872904179,-1.618804876,-1.520446874,0,0,0,0,0,0
1.253248769,1.351606771,1.449964772,1.548322774,1.646680775,1.745038777,1.843396778,-1.648312276,-1.549954275,-1.451596273,-1.353238272,-1.25488027,0,0,0
1.263084569,1.361442571,1.459800572,0,0,0,0,0,0,0,0,0,0,0,0
1.263084569,1.361442571,1.459800572,1.558158574,1.656516575,1.754874577,1.853232578,-1.638476476,-1.540118475,-1.441760473,-1.343402472,-1.24504447,0,0,0
1.164726568,1.263084569,1.361442571,1.459800572,1.558158574,1.656516575,1.754874577,1.853232578,-1.638476476,-1.540118475,0,0,0,0,0
1.204069768,1.30242777,1.400785771,1.499143773,1.597501774,1.695859776,1.794217777,-1.697491277,-1.599133276,-1.500775274,0,0,0,0,0
1.174562368,1.272920369,1.371278371,1.469636372,1.567994374,1.666352375,1.764710377,1.863068379,-1.628640676,-1.530282675,0,0,0,0,0
1.174562368,1.272920369,1.371278371,1.469636372,1.567994374,1.666352375,1.764710377,1.863068379,-1.628640676,-1.530282675,0,0,0,0,0
1.174562368,1.272920369,1.371278371,1.469636372,1.567994374,1.666352375,1.764710377,0,0,0,0,0,0,0,0
1.174562368,1.272920369,1.371278371,1.469636372,1.567994374,1.666352375,1.764710377,0,0,0,0,0,0,0,0
1.184398168,1.282756169,1.381114171,1.479472173,1.577830174,1.676188176,1.774546177,1.872904179,-1.618804876,-1.520446874,0,0,0,0,0
1.184398168,1.282756169,1.381114171,1.479472173,1.577830174,1.676188176,1.774546177,1.872904179,-1.618804876,-1.520446874,0,0,0,0,0
1.184398168,1.282756169,1.381114171,1.479472173,1.577830174,1.676188176,0,0,0,0,0,0,0,0,0
0.476220557,0.574578558,0.67293656,0.771294561,0.869652563,0.968010565,1.066368566,0,0,0,0,0,0,0,0
0.476220557,0.574578558,0.67293656,0,0,0,0,0,0,0,0,0,0,0,0
0.486056357,0.584414359,0.68277236,0,0,0,0,0,0,0,0,0,0,0,0
0.486056357,0.584414359,0.68277236,0.781130362,0.879488363,0.977846365,1.076204366,0,0,0,0,0,0,0,0
0.495892157,0.594250159,0.69260816,0.790966162,0.889324163,0.987682165,1.086040166,0,0,0,0,0,0,0,0
-0.969642066,-0.871284064,-0.772926063,-0.674568061,-0.57621006,-0.477852058,-0.379494057,-0.281136055,-0.182778053,-0.084420052,0.01393795,0.112295951,0.210653953,0.309011954,0.407369956
-0.959806266,-0.861448264,-0.763090263,-0.664732261,-0.566374259,-0.468016258,-0.369658256,-0.271300255,0,0,0,0,0,0,0
-0.959806266,-0.861448264,-0.763090263,-0.664732261,-0.566374259,-0.468016258,-0.369658256,-0.271300255,-0.172942253,-0.074584252,0,0,0,0,0
