File_Name,Species        ,NAT_IUCN,FG,Habitat_Specificity,Body_Size,Hunting_V,TL_Cat
T18_psi_Mean_Cabassous centralis.tif,Cabassous centralis,1_NonThreatened,3_Meso,1_HG,1_Small,1,2_Mid
T18_psi_Mean_Canis latrans.tif,Canis latrans,1_NonThreatened,3_Meso,1_HG,2_Large,2,3_High
T18_psi_Mean_Conepatus leuconotus.tif,Conepatus leuconotus,1_NonThreatened,3_Meso,1_HG,1_Small,1,2_Mid
T18_psi_Mean_Conepatus semistriatus.tif,Conepatus semistriatus,1_NonThreatened,3_Meso,1_HG,1_Small,1,2_Mid
T18_psi_Mean_Crax rubra.tif,Crax rubra,2_Vunerable,1_Frug,3_OGS,1_Small,3,1_Low
T18_psi_Mean_Cuniculus paca.tif,Cuniculus paca,2_Vunerable,1_Frug,2_SGT,1_Small,3,1_Low
T18_psi_Mean_Dasyprocta punctata.tif,Dasyprocta punctata,1_NonThreatened,1_Frug,2_SGT,1_Small,2,1_Low
T18_psi_Mean_Dasypus novemcinctus.tif,Dasypus novemcinctus,1_NonThreatened,3_Meso,2_SGT,1_Small,3,2_Mid
T18_psi_Mean_Didelphis sp.tif,Didelphis sp,1_NonThreatened,3_Meso,1_HG,1_Small,1,2_Mid
T18_psi_Mean_Eira barbara.tif,Eira barbara,1_NonThreatened,3_Meso,2_SGT,1_Small,1,3_High
T18_psi_Mean_Galictis vittata.tif,Galictis vittata,1_NonThreatened,3_Meso,1_HG,1_Small,1,2_Mid
T18_psi_Mean_Herpailurus yagouaroundi.tif,Herpailurus yagouaroundi,1_NonThreatened,3_Meso,1_HG,1_Small,2,3_High
T18_psi_Mean_Leopardus pardalis.tif,Leopardus pardalis,2_Vunerable,3_Meso,2_SGT,2_Large,2,3_High
T18_psi_Mean_Leopardus wiedii.tif,Leopardus wiedii,2_Vunerable,3_Meso,3_OGS,1_Small,2,3_High
T18_psi_Mean_Mazama temama.tif,Mazama temama,3_Endangered,2_Graz,3_OGS,2_Large,3,1_Low
T18_psi_Mean_Nasua narica.tif,Nasua narica,2_Vunerable,1_Frug,2_SGT,1_Small,2,2_Mid
T18_psi_Mean_Odocoileus virginianus.tif,Odocoileus virginianus,2_Vunerable,2_Graz,1_HG,3_Mega,3,1_Low
T18_psi_Mean_Panthera onca.tif,Panthera onca,3_Endangered,4_Apex,3_OGS,3_Mega,3,3_High
T18_psi_Mean_Pecari tajacu.tif,Pecari tajacu,2_Vunerable,1_Frug,2_SGT,2_Large,3,2_Mid
T18_psi_Mean_Penelope purpurascens.tif,Penelope purpurascens,2_Vunerable,1_Frug,2_SGT,1_Small,3,1_Low
T18_psi_Mean_Penelopina nigra.tif,Penelopina nigra,2_Vunerable,1_Frug,2_SGT,1_Small,2,1_Low
T18_psi_Mean_Procyon lotor.tif,Procyon lotor,1_NonThreatened,3_Meso,1_HG,1_Small,2,2_Mid
T18_psi_Mean_Puma concolor.tif,Puma concolor,3_Endangered,4_Apex,2_SGT,3_Mega,3,3_High
T18_psi_Mean_Spilogale angustifrons.tif,Spilogale angustifrons,1_NonThreatened,3_Meso,1_HG,1_Small,1,2_Mid
T18_psi_Mean_Sylvilagus gabbi.tif,Sylvilagus gabbi,1_NonThreatened,1_Frug,2_SGT,1_Small,2,1_Low
T18_psi_Mean_Tamandua mexicana.tif,Tamandua mexicana,1_NonThreatened,3_Meso,2_SGT,1_Small,1,2_Mid
T18_psi_Mean_Tapirus bairdii.tif,Tapirus bairdii,3_Endangered,2_Graz,2_SGT,3_Mega,3,1_Low
T18_psi_Mean_Tayassu pecari.tif,Tayassu pecari,3_Endangered,1_Frug,3_OGS,2_Large,3,2_Mid
T18_psi_Mean_Tinamus major.tif,Tinamus major,1_NonThreatened,1_Frug,3_OGS,1_Small,3,2_Mid
T18_psi_Mean_Urocyon cinereoargenteus.tif,Urocyon cinereoargenteus,1_NonThreatened,3_Meso,1_HG,1_Small,1,2_Mid
